491
0	1	0
0	2	1
3	4	1
3	5	1
6	7	2
0	8	1
0	9	1
0	10	1
11	12	2
11	13	1
12	13	1
14	15	2
16	15	2
0	17	1
18	19	1
18	20	1
19	20	2
21	22	2
23	21	2
25	26	1
27	28	3
29	30	2
31	32	2
25	33	1
34	35	1
36	37	4
38	39	4
40	41	1
42	43	1
44	42	5
44	45	1
46	47	2
48	46	1
48	47	1
49	50	5
51	52	4
53	52	0
53	54	1
55	56	0
57	55	0
58	55	0
59	60	1
59	61	1
62	63	1
64	65	1
66	67	6
68	69	6
70	71	0
72	71	0
73	71	0
74	75	6
76	77	6
78	78	0
79	78	0
80	81	0
81	79	6
82	81	0
83	81	0
84	85	4
86	85	0
87	86	1
88	89	0
90	88	0
91	88	0
92	88	0
93	89	0
94	89	0
95	89	0
96	89	0
97	98	6
99	100	1
101	85	3
102	85	3
0	103	0
104	105	1
106	107	0
108	107	0
109	78	0
110	78	0
111	112	0
0	113	1
114	115	1
114	116	1
114	117	1
115	116	2
116	117	2
116	107	0
115	107	0
78	115	1
78	118	1
119	120	4
109	110	2
121	120	1
122	120	1
123	124	0
78	125	1
78	126	1
127	71	1
128	129	1
129	130	0
131	132	6
131	133	1
134	133	1
135	136	1
137	138	0
139	138	0
140	141	4
142	137	3
143	144	1
145	146	3
145	147	3
148	144	1
149	144	3
78	146	1
78	147	1
150	151	1
152	11	3
153	154	4
155	150	0
78	156	1
157	158	1
159	160	1
161	144	3
162	163	1
162	164	1
165	164	1
165	163	1
166	167	3
168	169	7
170	169	7
171	169	7
172	169	7
144	173	0
174	175	8
176	177	1
178	179	3
180	167	3
181	182	4
183	184	4
78	185	1
185	186	1
187	179	0
188	189	1
190	191	1
190	192	1
193	11	0
194	195	1
196	197	1
198	199	1
192	200	1
201	85	0
202	85	0
191	203	1
204	205	4
206	203	1
207	208	4
208	209	1
119	209	1
210	78	0
211	78	0
212	213	1
212	214	1
215	9	4
43	216	5
43	217	5
216	217	2
0	218	1
218	219	1
0	85	1
0	220	1
85	220	2
221	222	3
222	223	2
0	224	1
0	223	1
78	20	1
78	225	1
78	226	5
227	228	1
228	229	2
227	229	1
230	228	4
230	229	4
78	231	1
78	232	1
231	232	2
233	234	5
235	236	1
237	238	1
239	240	0
237	241	0
227	242	1
242	243	4
242	84	0
242	85	0
242	111	0
227	244	0
245	246	5
245	247	5
246	247	2
227	248	1
246	249	1
247	249	1
250	251	4
250	252	4
250	253	1
254	255	1
256	257	4
258	259	5
257	260	5
258	259	3
261	262	5
261	263	1
264	265	9
78	266	8
267	119	4
58	119	1
0	268	9
269	270	8
271	272	5
227	271	0
227	273	5
227	274	0
227	275	5
78	276	1
276	277	4
278	277	4
279	277	4
278	82	1
276	280	1
279	280	1
281	282	5
78	283	1
283	111	4
284	78	1
78	285	1
78	286	1
285	150	4
286	150	4
78	287	1
288	289	5
150	90	1
90	11	4
90	290	4
291	78	1
292	150	0
293	294	0
227	289	5
227	295	1
296	1	3
78	296	0
119	296	0
78	297	1
78	298	2
78	299	2
78	87	2
78	300	2
78	301	2
78	302	1
78	303	1
303	119	4
304	305	5
0	306	1
0	278	1
0	307	1
306	111	4
278	111	4
307	111	4
308	107	4
0	308	1
78	149	3
309	310	1
119	311	1
119	228	1
0	312	1
312	119	4
78	313	1
78	314	1
315	316	3
78	316	1
317	318	5
319	320	0
319	321	0
322	320	0
322	321	0
78	295	1
295	323	0
295	324	0
295	15	0
295	325	0
119	326	1
119	295	1
327	328	2
78	329	1
78	330	2
331	332	5
78	333	1
